Name,Município,Data_Avist,Estado,Latitude,Longitude,Data_Revis,Status
Caraúbas,Maxaranguape,2019-09-15,RN,"05° 26' 39.80"" S","35° 17' 28.42"" W",2019-10-23,Óleo - Não Observado
Maracajaú,Maxaranguape,2019-09-17,RN,"05° 25' 36.72"" S","35° 17' 33.51"" W",2019-10-02,Oleada - Vestígios/Esparsos
Cabo de São Roque,Maxaranguape,2019-09-14,RN,"05° 29' 05.60"" S","35° 15' 35.61"" W",2019-09-22,Oleada - Vestígios/Esparsos
Maracajaú,Maxaranguape,2019-09-10,RN,"05° 24' 38.34"" S","35° 18' 34.80"" W",2019-10-22,Oleada - Vestígios/Esparsos
Praia de Barra de Maxaranguape,Maxaranguape,2019-10-21,RN,"05° 31' 04.51"" S","35° 15' 13.37"" W",,Óleo - Não Observado
Via Costeira,Natal,2019-09-07,RN,"05° 49' 43.35"" S","35° 10' 58.25"" W",2019-10-23,Oleada - Vestígios/Esparsos
Ponta Negra,Natal,2019-09-14,RN,"05° 52' 42.27"" S","35° 10' 24.24"" W",2019-10-22,Oleada - Vestígios/Esparsos
Redinha,Natal,2019-09-20,RN,"05° 45' 04.36"" S","35° 12' 08.56"" W",2019-10-02,Oleada - Vestígios/Esparsos
Praia de Areia Preta,Natal,2019-09-17,RN,"05° 47' 22.47"" S","35° 11' 16.49"" W",2019-10-23,Óleo - Não Observado
Praia do Forte,Natal,2019-09-17,RN,"05° 45' 45.93"" S","35° 11' 44.00"" W",2019-10-01,Óleo - Não Observado
Praia de Alagamar,Natal,2019-09-24,RN,"05° 53' 26.34"" S","35° 09' 14.31"" W",2019-09-24,Oleada - Vestígios/Esparsos
Pirangi do Sul,Nísia Floresta,2019-09-11,RN,"05° 59' 04.36"" S","35° 07' 08.00"" W",2019-10-18,Óleo - Não Observado
Foz do Rio Pirangi/Pium,Nísia Floresta,2019-09-11,RN,"05° 58' 57.46"" S","35° 07' 16.98"" W",2019-10-21,Oleada - Vestígios/Esparsos
Pirambúzios,Nísia Floresta,2019-09-10,RN,"05° 59' 11.66"" S","35° 06' 59.05"" W",2019-10-18,Oleada - Vestígios/Esparsos
Pirambúzios,Nísia Floresta,2019-09-10,RN,"05° 59' 27.88"" S","35° 06' 47.14"" W",2019-10-22,Óleo - Não Observado
Praia de Búzios,Nísia Floresta,2019-09-11,RN,"06° 00' 59.73"" S","35° 06' 31.41"" W",2019-10-22,Óleo - Não Observado
Barra de Tabatinga - Tartarugas,Nísia Floresta,2019-09-10,RN,"06° 03' 25.49"" S","35° 05' 48.44"" W",2019-10-23,Oleada - Vestígios/Esparsos
Camurupim,Nísia Floresta,2019-09-10,RN,"06° 04' 39.49"" S","35° 05' 59.54"" W",2019-10-23,Oleada - Vestígios/Esparsos
Barreta,Nísia Floresta,2019-09-10,RN,"06° 07' 25.62"" S","35° 05' 58.56"" W",2019-10-16,Óleo - Não Observado
Ponta da Ilha Verde,Nísia Floresta,2019-09-12,RN,"06° 00' 25.43"" S","35° 06' 24.66"" W",2019-10-01,Oleada - Vestígios/Esparsos
Barreira do Inferno,Parnamirim,2019-09-11,RN,"05° 56' 08.93"" S","35° 09' 17.33"" W",2019-09-23,Óleo - Não Observado
Cotolelo,Parnamirim,2019-09-11,RN,"05° 57' 46.28"" S","35° 08' 46.82"" W",2019-10-23,Oleada - Vestígios/Esparsos
Pirangi do Norte,Parnamirim,2019-09-11,RN,"05° 58' 19.06"" S","35° 07' 32.98"" W",2019-10-23,Oleada - Vestígios/Esparsos
Praia de Zumbi,Rio do Fogo,2019-09-11,RN,"05° 19' 10.42"" S","35° 21' 43.53"" W",2019-10-22,Óleo - Não Observado
Rio Punaú,Rio do Fogo,2019-09-11,RN,"05° 21' 00.60"" S","35° 21' 24.60"" W",2019-10-09,Oleada - Vestígios/Esparsos
Praia do Giz,Tibau do Sul,2019-09-10,RN,"06° 10' 56.31"" S","35° 05' 22.30"" W",2019-10-02,Óleo - Não Observado
Pirambu,Tibau do Sul,2019-09-10,RN,"06° 11' 14.82"" S","35° 05' 06.24"" W",2019-10-02,Oleada - Vestígios/Esparsos
Pipa,Tibau do Sul,2019-09-10,RN,"06° 13' 40.49"" S","35° 02' 51.34"" W",2019-09-28,Óleo - Não Observado
Praia do Amor,Tibau do Sul,2019-09-10,RN,"06° 13' 50.14"" S","35° 02' 31.76"" W",2019-10-23,Óleo - Não Observado
Sibaúma/Das Minas,Tibau do Sul,2019-09-11,RN,"06° 15' 56.50"" S","35° 02' 17.72"" W",2019-09-28,Oleada - Vestígios/Esparsos
Tibau do Sul,Tibau do Sul,2019-09-10,RN,"06° 10' 46.86"" S","35° 05' 28.83"" W",2019-10-02,Oleada - Vestígios/Esparsos
Perobas,Touros,2019-09-11,RN,"05° 15' 04.92"" S","35° 23' 35.15"" W",2019-10-23,Óleo - Não Observado
Praia do Calcanhar,Touros,2019-09-14,RN,"05° 09' 38.81"" S","35° 29' 08.88"" W",2019-09-26,Óleo - Não Observado
Praia de Touros,Touros,2019-09-14,RN,"05° 11' 22.36"" S","35° 27' 49.19"" W",2019-10-23,Óleo - Não Observado
Praia Carnaubinhas,Touros,2019-10-21,RN,"05° 12' 06.62"" S","35° 27' 06.44"" W",,Oleada - Vestígios/Esparsos
Mosqueiro,Aracajú,2019-10-02,SE,"11° 04' 27.77"" S","37° 06' 26.07"" W",2019-10-20,Oleada - Vestígios/Esparsos
Atalaia,Aracajú,2019-10-02,SE,"10° 58' 50.09"" S","37° 02' 10.76"" W",2019-10-21,Oleada - Vestígios/Esparsos
Praia de Aruanã,Aracajú,2019-10-15,SE,"11° 06' 13.12"" S","37° 07' 39.55"" W",2019-10-21,Oleada - Vestígios/Esparsos
Coroa do Meio,Aracajú,2019-10-16,SE,"10° 57' 49.77"" S","37° 02' 17.12"" W",2019-10-21,Oleada - Vestígios/Esparsos
Mosqueiro,Aracajú,2019-10-16,SE,"11° 01' 44.67"" S","37° 04' 34.26"" W",2019-10-23,Oleada - Vestígios/Esparsos
Barra dos Coqueiros,Barra dos Coqueiros,2019-09-24,SE,"10° 56' 22.07"" S","37° 01' 15.08"" W",2019-10-17,Oleada - Vestígios/Esparsos
Praia de Jatobá,Barra dos Coqueiros,2019-09-24,SE,"10° 48' 15.51"" S","36° 54' 40.87"" W",2019-10-02,Oleada - Vestígios/Esparsos
Atalaia Nova,Barra dos Coqueiros,2019-09-02,SE,"10° 57' 08.00"" S","37° 01' 46.00"" W",2019-10-20,Oleada - Vestígios/Esparsos
Praia da Costa,Barra dos Coqueiros,2019-09-02,SE,"10° 55' 43.00"" S","37° 00' 49.00"" W",2019-10-18,Óleo - Não Observado
Porto,Barra dos Coqueiros,2019-09-02,SE,"10° 50' 43.00"" S","36° 56' 53.00"" W",2019-10-17,Oleada - Vestígios/Esparsos
Praia Atalaia Nova,Barra dos Coqueiros,2019-10-21,SE,"10° 55' 18.48"" S","37° 02' 49.02"" W",,Oleada - Vestígios/Esparsos
Foz do Rio São Francisco,Brejo Grande,2019-10-09,SE,"10° 29' 40.00"" S","36° 24' 38.01"" W",,Óleo - Não Observado
Abais,Estância,2019-09-03,SE,"11° 20' 27.23"" S","37° 17' 22.98"" W",2019-10-21,Oleada - Vestígios/Esparsos
Caueira,Estância,2019-10-03,SE,"11° 13' 17.71"" S","37° 12' 26.78"" W",2019-10-21,Oleada - Vestígios/Esparsos
Estância,Estância,2019-10-05,SE,"11° 21' 58.12"" S","37° 18' 02.05"" W",2019-10-13,Oleada - Vestígios/Esparsos
Mangue,Indiaroba,2019-10-12,SE,"11° 26' 06.48"" S","37° 24' 29.63"" W",2019-10-21,Oleada - Vestígios/Esparsos
Praia do Saco,Itaporanga d'Ajuda,2019-09-03,SE,"11° 15' 08.89"" S","37° 13' 55.80"" W",2019-10-05,Oleada - Vestígios/Esparsos
Mangue,Itaporanga d'Ajuda,2019-10-12,SE,"11° 06' 46.00"" S","37° 10' 01.63"" W",2019-10-15,Oleada - Manchas
Mangue,Itaporanga d'Ajuda,2019-10-17,SE,"11° 05' 21.00"" S","37° 12' 22.51"" W",,Oleada - Vestígios/Esparsos
